source,target,edge
Q756,Q19088,
Q756,Q879246,
Q19088,Q2382443,
Q25314,Q25814,
Q25814,Q27133,
Q25814,Q642865,
Q26229,Q78961,
Q27133,Q756,
Q27133,Q192154,
Q78961,Q25314,
Q133527,Q11973077,
Q155874,Q157167,
Q157167,Q26229,
Q161115,Q155874,
Q192154,Q133527,
Q642865,Q27133,
Q879246,Q17539327,
Q2382443,,
Q11973077,Q756,
Q17539327,Q19088,
