Date	Location	QID
July 23, 2007	Cleveland Metroparks Zoo, Cleveland, OH	Q2978998
August 7, 2007	University of California Botanical Garden, Berkeley, CA	Q5796845
August 14, 2007	Giardino dei Semplici, Florence	Q1875558
October 4, 2007	Giardino dei Semplici, Florence	Q1875558
April 10, 2008	Como Park Conservatory, St. Paul, MN	Q5155139
June 21, 2008	Eastern Illinois University, Charleston, Illinois	Q624985
July 8, 2008	University of Connecticut, Storrs, CT	Q49206
July 20, 2008	The Botanic Garden of Smith College, Northampton, MA	Q7719467
July 28, 2008	Volunteer Park Conservatory, Seattle	Q7941038
August 5, 2008	National Botanic Garden of Belgium, Meise, Belgium	Q3052500
September 6, 2008	National Botanic Garden of Belgium, Meise, Belgium	Q3052500
November 10, 2008	Milwaukee Public Museum, Milwaukee, Wisconsin	Q6861802
May 1, 2009	Royal Botanic Gardens, Kew	Q18748726
June 7, 2009	University of Missouri–St. Louis	Q6884925
June 17, 2009	The Huntington Library, Art Collections, and Botanical Gardens	Q1400558
June 22, 2009	University of California Botanical Garden, University of California, Berkeley	Q5796845
June 28, 2009	Le Conservatoire Botanique, Brest	Q2994486
October 28, 2009	Olbrich Botanical Gardens, Madison, Wisconsin	Q9010914
January 15, 2010	Milwaukee Public Museum, Milwaukee, Wisconsin	Q6861802
March 1, 2010	Nathanael Greene Park, Friends of the Garden, Springfield, Missouri	Q135615
May 2, 2010	Western Illinois University, Macomb, IL	Q1474005
May 15, 2010	Cleveland Metroparks Zoo, Cleveland, OH	Q2978998
June 4, 2010	The Huntington Library, Art Collections, and Botanical Gardens	Q1400558
June 9, 2010	Eastern Illinois University, Charleston, IL	Q624985
June 10, 2010	Horticultural Gardens, Michigan State University, East Lansing, MI	Q270222
June 22, 2010	UNC Charlotte Botanical Gardens, Charlotte, North Carolina	Q7895949
June 29, 2010	University of California Botanical Garden, Berkeley, CA	Q5796845
July 11, 2010	Harvard University, Cambridge, MA	Q13371
July 22, 2010	Houston Museum of Natural Science, Houston, TX	Q16555
July 24, 2010	Gustavus Adolphus College, Saint Peter, Minnesota	Q5621541
September 14, 2010	Binghamton University, Binghamton, New York	Q863813
September 21, 2010	University of Wisconsin–Madison	Q838330
October 11, 2010	University of Wisconsin–River Falls	Q2687532
December 17, 2010	Instituto Inhotim, Brumadinho, Minas Gerais, Brazil	Q478245
January 25, 2011	Flecker Botanic Gardens, Cairns, Queensland, Australia	Q24190463
March 15, 2011	National Botanic Garden of Belgium	Q3052500
April 22, 2011	Botanical Garden of the University of Basel, Basel, Switzerland	Q372608
April 23, 2011	Ohio State University, Columbus, Ohio	Q309331
April 24, 2011	Pana'ewa Rainforest Zoo, Hilo, Hawaiʻi	Q7129731
May 12, 2011	University of Missouri–St. Louis	Q6884925
May 18, 2011	Bergianska trädgården, Stockholm, Sweden	Q819811
May 19, 2011	University of Missouri–St. Louis	Q6884925
June 3, 2011	Eden Project, Cornwall	Q596642
June 8, 2011	Eden Project, Cornwall	Q596642
June 8, 2011	University of Washington, Seattle	Q219563
June 12, 2011	University of Missouri–St. Louis	Q6884925
June 16, 2011	University of Connecticut, Storrs, CT	Q49206
June 23, 2011	Botanical Conservatory at the University of California, Davis	Q129421
June 28, 2011	Como Park Conservatory, St. Paul, MN	Q5155139
July 4, 2011	Murdough Greenhouse, Biology Dept, Dartmouth College, Hanover, NH	Q49116
July 15, 2011	University of Illinois, Urbana, IL	Q457281
July 23, 2011	Roseville High School, Roseville, CA	Q7368732
March 18, 2012	Cornell University, Ithaca, NY	Q49115
May 4, 2012	Niagara Parks, Niagara Falls, Ontario, Canada	Q7023741
May 14, 2012	Niagara Parks, Niagara Falls, Ontario, Canada	Q7023741
May 19, 2012	Missouri Botanical Garden, Saint Louis, Missouri	Q1852803
May 25, 2012	The Ohio State University, Columbus, Ohio	Q309331
June 6, 2012	Eden Project, Cornwall	Q596642
June 9, 2012	Marie Selby Botanical Gardens	Q6763018
June 14, 2012	Moody Gardens, Galveston, Texas	Q6907207
June 16, 2012	University of Connecticut	Q49206
June 19, 2012	Franklin Park Zoo, Boston, Massachusetts	Q5491738
June 19, 2012	Missouri Botanical Garden, Saint Louis, Missouri	Q1852803
June 21, 2012	University of Copenhagen Botanical Garden, Copenhagen, Denmark	Q892711
July 1, 2012	Eastern Illinois University, Charleston, IL	Q624985
November 19, 2012	Botanical Garden of the University of Basel, Basel, Switzerland	Q372608
December 25, 2012	Royal Botanic Gardens, Melbourne, Australia	Q7373836
December 27, 2012	Instituto Inhotim, Brumadinho, Minas Gerais, Brazil	Q478245
January 4, 2013	Royal Botanic Gardens, Melbourne, Australia	Q7373836
April 9, 2013	Miami University, Oxford, Ohio, United States.	Q590643
April 21, 2013	Muttart Conservatory, Edmonton, Alberta, Canada.	Q6944087
May 14, 2013	The Ohio State University, Columbus, Ohio	Q309331
May 24, 2013	The Ohio State University, Columbus, Ohio	Q309331
June 19, 2013	California State University Chico, Chico, California	Q1026912
June 20, 2013	Binghamton University, Binghamton, New York	Q863813
June 21, 2013	Botanic Garden, Bonn, Germany	Q163255
July 10, 2013	Bergianska trädgården, Stockholm, Sweden	Q819811
July 13, 2013	University of Connecticut	Q49206
July 21, 2013	United States Botanic Garden, Washington, DC	Q1848855
July 30, 2013	University of California-Santa Barbara	Q263064
August 1, 2013	University of Wisconsin, Madison, Madison, Wisconsin	Q838330
August 8, 2013	Phipps Conservatory, Pittsburgh, Pennsylvania	Q7186407
August 19, 2013	University of Wisconsin–River Falls	Q2687532
October 31, 2013	Gustavus Adolphus College	Q5621541
December 1, 2013	Domain Wintergardens, Auckland	Q15214556
May 13, 2014	University of Mississippi, School of Pharmacy	Q1138384
June 11, 2014	University of Mississippi, School of Pharmacy	Q1138384
June 24, 2014	Orange Coast College, Costa Mesa, California, OCC Horticulture Garden	Q7099536
June 29, 2014	Jardin des plantes de Nantes, France	Q3162566
July 11, 2014	Eastern Illinois University, Charleston, IL	Q624985
July 11, 2014	University of Copenhagen Botanical Garden, Copenhagen, Denmark	Q892711
July 16, 2014	Royal Gardens of Herrenhausen, Hannover, Germany	Q574773
August 8, 2014	Buffalo and Erie County Botanical Gardens, Buffalo, New York	Q4985906
August 24, 2014	Huntington Library, San Marino, California	Q1400558
September 28, 2014	Botanical Garden of the University of Basel, Basel, Switzerland	Q372608
November 19, 2014	Cornell University, Ithaca, NY	Q49115
January 5, 2015	McMaster University, Hamilton, Ontario, Canada 	Q632891
March 14, 2015	Royal Botanic Gardens, Melbourne, Australia	Q7373836
April 7, 2015	Muttart Conservatory, Edmonton, Alberta, Canada.	Q6944087
April 20, 2015	Rollins College Hauck Greenhouse, Winter Park, Florida	Q2164222
May 31, 2015	McMaster University, Hamilton, Ontario, Canada	Q632891
June 16, 2015	California State University, Long Beach, Long Beach, CA	Q1026926
June 26, 2015	Paignton Zoo, England	Q3082339
June 27, 2015	Royal Botanic Garden, Edinburgh, Scotland	Q1807521
July 9, 2015	Botanical Garden of the Ghent University, Ghent, Belgium 	Q1137665
July 15, 2015	Daniel Stowe Botanical Garden, Belmont, NC 	Q5218854
July 17, 2015	University of North Carolina - Charlotte 	Q7895949
July 18, 2015	Cambridge University Botanic Garden, University of Cambridge	Q894665
July, 2015	Eden Project, Cornwall	Q596642
July 25, 2015	University of California Botanical Garden, Berkeley	Q5796845
July 25, 2015	Jindai Botanical Gardens, Japan 	Q606827
August 18, 2015	Denver Botanic Gardens, Denver, Colorado, US	Q3003810
August 28, 2015	Virginia Tech Horticulture Greenhouses, Virginia Tech, Blacksburg, Virginia	Q5638880
August 29, 2015	Olbrich Botanical Gardens, Madison, Wisconsin	Q9010914
September 29, 2015	Chicago Botanic Garden, Chicago, Illinois, US	Q2919730
December 28, 2015	Mount Lofty Botanic Gardens, Adelaide, South Australia, Australia	Q6921866
February 1, 2016	Adelaide Botanic Gardens, Adelaide, South Australia, Australia 	Q4681683
April 26, 2016	Chicago Botanical Garden, Chicago, IL	Q2919730
May 1, 2016	The Eden Project, St Austell, Cornwall, United Kingdom	Q596642
May 5, 2016	Rollins College, Florida, USA	Q2164222
May 26, 2016	Botanical Garden, Munich, Germany	Q707660
June 29, 2016	Eastern Illinois University, Charleston, IL	Q624985
July 19, 2016	Periya Gurukula Botanical Garden, Kerala, India	Q3052500
July 27, 2016	Botanical Garden Meise	Q3052500
July 28, 2016	New York Botanical Garden, New York City	Q636275
July 30, 2016	Jordan Hall greenhouse at Indiana University	Q1079140
