source	source.label	source.image	target	target.label	target.image	edge
Q10987	Pollen source/honey	https://upload.wikimedia.org/wikipedia/commons/e/e2/Pangetkon%2C_Shan_Hills%2C_Myanmar%2C_Fresh_organic_honey_in_honeycombs.jpg	Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/5/57/Brakfast.jpg	connected
Q1377087	Sweetner	https://upload.wikimedia.org/wikipedia/commons/6/6a/Equal_Saccharin_Sweetner.jpg	Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/5/57/Brakfast.jpg	connected
Q35808	Fuelwood	https://upload.wikimedia.org/wikipedia/commons/e/e6/Firewood_in_Russia._img_19.jpg	Q42501	Fuel	https://upload.wikimedia.org/wikipedia/commons/e/e6/Firewood_in_Russia._img_19.jpg	connected
Q199182	Ornamental plant	https://upload.wikimedia.org/wikipedia/commons/2/27/Melaleuca_quinquenervia_flowers.jpg	Q1724915	General	https://upload.wikimedia.org/wikipedia/commons/5/5c/800_randomly_distributed_1mm_dots.svg	connected
Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/5/57/Brakfast.jpg	Q1813408	Melaleuca quinquenervia	https://upload.wikimedia.org/wikipedia/commons/4/4e/Melaleuca_quinquenervia_forest.jpg	connected
