source	source.label	source.image	target	target.label	edge
Q358469 	Eutoxeres aquila	https://commons.wikimedia.org/w/thumb.php?f=White-tipped_Sicklebill_%2849571566692%29.jpg&w=140
Q1269378 	Phaethornis superciliosus	https://raw.githubusercontent.com/JSTOR-Labs/plant-humanities/e8b9ce75b5790e7d819f0608f67223bdc9c7c183/images/dove-solid.svg
Q644670 	Threnetes ruckeri	https://commons.wikimedia.org/w/thumb.php?f=Band-tailed_Barbthroat_%28Threnetes_ruckeri%29.jpg	Q1602492	Heliconia imbricata	feed on and pollinate
	Glaucis hirsute	https://commons.wikimedia.org/w/thumb.php?f=Rufous-breasted_hermit_(_Glaucis_hirsutus_insularum).jpg&w=140
	Chalybura urochyrsia	https://commons.wikimedia.org/w/thumb.php?f=Bronze-tailed_Plumeleteer_(Chalybura_urochrysia).jpg&w=140	Q1602492	Heliconia imbricata	feed on and pollinate
Q581590	Thalurania furcata	https://commons.wikimedia.org/w/thumb.php?f=Fork-tailed_Woodnymph_%28Thalurania_furcata%29_2015-06-14_%283%29_%2840283848562%29.jpg&w=140	Q1602492	Heliconia imbricata	feed on and pollinate
Q901824	Amazilia izacatl	https://commons.wikimedia.org/w/thumb.php?f=Rufous-tailed_Hummingbird_JCB.jpg&w=140	Q1602492	Heliconia imbricata	feed on and pollinate
Q432058	Amazilia amabilis	https://commons.wikimedia.org/w/thumb.php?f=Blue-chested_hummingbird-1-2_-_Flickr_-_Ragnhild_%26_Neil_Crawford.jpg&w=140	Q1602492	Heliconia imbricata	feed on and pollinate
Q1084570	Florisuga mellivora	https://commons.wikimedia.org/w/thumb.php?f=White-necked_Jacobin_%28f%29_JCB.jpg&w=140	Q1602492	Heliconia imbricata	feed on and pollinate
