Item Name,Unique ID,Urban Place Name,Pop 1990,Pop 1980,Pop 1970,Pop 1960,Pop 1950,Pop 1940,Pop 1930,Pop 1921,Longitude,Latitude,Elevation,Atlas Page,Capital,,Additional Notes: 
Key,From Right to Left:,,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,To 1/10th of a Min.,To 1/10th of a Min.,In Meters;,From Carta,E = State Capital,,* Missing coordinates were not available
,1st. three digits = Municipality ID,,,,,,,,,,"(e.g., 09020.20 =","(e.g., 2220.20 =",at 10 meter,De Mexico,M = Municipal Capital,,* Urban ID conforms to INEGI system
,Following digits = State ID,,,,,,,,,,90 degrees,22 degrees,intervals,"INEGI, 1982",,,
,,,,,,,,,,,20 minutes,20 minutes,,,,,
,,,,,,,,,,,2/10 minute),2/10 minute),,,,,
,5031,San Buenaventura,17.511,12.7,9.2,5.4,3.9,3.5,3,4,-10132.80,2703.80,490,G14-01,M
,5033,San Pedro de las Colonias,40.371,35.9,26.9,26,19.3,15.7,13.2,18.2,-10259.00,2545.50,1090,G13-09,M
,5035,Torreon M.A. (6),791.8,617.4,438.4,345.9,260.1,160.4,139.5,112.8,-10327.20,2532.30,1130,G13-09,M
,5038,Zaragoza,8.992,7.9,6.8,5.4,4.1,3.5,3.7,4.2,-10055.20,2829.50,360,H14-10,M
,6002,Colima M.A. (10),154.3,119.9,84.1,60,41.8,31.9,31.5,49.5,-10343.40,1914.40,500,E13-03,E
,6003,Comala,7.57,7.3,5.6,4.9,3.3,2.8,2.3,2.6,-10345.30,1919.70,620,E13-03,M
,6004,Coquimatlan,9.702,7.8,6.2,4.5,3.3,2.3,1.7,2.2,-10348.60,1912.30,340,E13-03,M
,6005,Cuauhtemoc,6.938,5.9,4.3,3.8,2.8,2,1.9,2,-10336.20,1919.70,940,E13-03,M
,6005,Queseria,7.735,7.4,5.3,2.5,2.6,1.6,1.2,0.7,-10334.40,1923.20,1280,E13-03, 
,6007,Manzanillo M.A. (9),117.8,93.8,62.4,47.3,32.8,22.9,15.6,8.2,-10418.90,1903.10,20,E13-02,M
,6009,Tecoman Conurb. (8),110.5,88.9,60.7,23.9,5,5.4,7.2,5.1,-10352.40,1854.80,35,E13-09,M
,7002,Acala,11.064,7.3,6.2,4.6,3.5,2.4,2.2,1.9,-09248.30,1633.20,400,E15-11,M
,7003,Acapetahua,4.859,5.7,3.1,3.4,2.9,1.4,1.1,0.8,-09241.50,1516.70,50,D15-02,M
,7009,Arriaga,21.849,17.8,13.2,11.6,8.7,6.5,5,3.4,-09354.10,1614.10,70,E15-11,M
,7012,Berriozabal,14.11,12.4,5.3,3.8,3.4,2.4,1.6,1.6,-09316.40,1647.90,900,E15-11,M
,7017,Cintalapa,29.303,14.3,12,8.1,6.8,5,4.6,4.7,-09343.30,1641.60,550,E15-11,M
,7019,Comitan de Dominguez,48.299,27.4,21.2,15.4,11.8,8.7,8.5,9.3,-09208.00,1615.10,1600,E15-11,M
,7020,Concordia_ La,6.675,5.4,3.6,2.4,1.9,1.5,1.3,1.1,-09241.20,1607.00,560,E15-11,M
,7027,Chiapa de Corzo,18.7,11,8.6,7,6.7,5.4,4.9,6.2,-09300.70,1642.50,400,E15-11,M
,7032,Escuintla,7.392,5.8,4.1,3.5,2.7,2.4,2.3,2.6,-09239.50,1519.10,100,D15-02,M
,7040,Huixtla,24.98,21.6,15.7,12.3,10.2,6.8,5.3,3,-09227.90,1508.20,50,D15-02,M
,7051,Mapastepec,12.572,7.6,5.9,4.7,3.6,2.1,1.6,1.1,-09253.60,1526.50,50,D15-02,M
,7052,Margaritas_ Las,8.637,5.8,6,4.1,3,1.4,1.3,0.9,-09159.00,1618.80,1500,E15-12,M
,7057,Motozintla,11.316,7.1,4.7,4.1,3.3,2.5,2,1.5,-09214.80,1521.80,1300,D15-02,M
